advice about sth,khuyên về cái gì,,Design & creativity
succeed in sth,thành công về cái gì,,Design & creativity
be in fashion,đang thịnh hành,,Design & creativity
out of fashion,lỗi mốt,,Design & creativity
look for sth,"tìm kiếm, mong đợi",,Design & creativity
supply sb with sth,cung cấp cho ai/ cung cấp cái gì,,Design & creativity
insist on sth,nhấn mạnh vào điều gì,,Design & creativity
fit sb well/ badly,phù hợp/ không phù hợp,,Design & creativity
be similar to,tương tự với,,Design & creativity
It seems that…,dường như là…,,Design & creativity
by the time,vào lúc,,Design & creativity
idioms,,,Design & creativity
be dressed to kill,"mặc đẹp, ăn diện",,Design & creativity
dress like a tramp,mặc xấu,,Design & creativity
see through rose-tinted glasses,nhìn đời bằng lăng kính màu hồng,,Design & creativity
cost an arm and a leg,rất đắt,very expensive,Design & creativity
have good fashion sense,có gu thời trang,,Design & creativity
word,,,
smile,cười tươi (mỉm hoặc hở răng),,Happiness and relationships
frown,"nhăn mặt, cau mày",,Happiness and relationships
cry,khóc,,Happiness and relationships
laugh,cười lớn,,Happiness and relationships
feel,cảm thấy,,Happiness and relationships
argue,cãi vã,,Happiness and relationships
argument,trận cãi vã,,Happiness and relationships
argumentative,"có lý luận, hay tranh cãi",,Happiness and relationships
fault,lỗi (vì làm sai điều gì),,Happiness and relationships
partner,"bạn đồng hành, người thương",,Happiness and relationships
couple,"cặp đôi, cặp tình nhân",,Happiness and relationships
sibling,anh chị em ruột,,Happiness and relationships
relative,họ hàng,,Happiness and relationships
colleague,đồng nghiệp,,Happiness and relationships
flatmate,bạn cùng phòng,,Happiness and relationships
acquaintance,"người quen, sự quen biết",,Happiness and relationships
moody,"ủ rũ, nhiều tâm sự",,Happiness and relationships
sensitively,(một cách) nhạy cảm,,Happiness and relationships
sensitivity,tính nhạy cảm,,Happiness and relationships
furious,giận dữ,very angry,Happiness and relationships
timid,nhút nhát,shy,Happiness and relationships
impolite,thô lỗ,,Happiness and relationships
politeness,sự lịch thiệp,,Happiness and relationships
craziness,sự điên cuồng,,Happiness and relationships
marriage,hôn nhân,,Happiness and relationships
eagerness,"sự háo hức, say mê",,Happiness and relationships
tolerate,tha thứ,,Happiness and relationships
tolerate,chấp nhận,,Happiness and relationships
tolerance,sự tha thứ,,Happiness and relationships
tolerance,sự chấp nhận,,Happiness and relationships
phrasal verb,,,Happiness and relationships
fall out with,cãi nhau với ai,,Happiness and relationships
fall for sb,phải lòng ai đó,fall in love with sb,Happiness and relationships
get on with,kết bạn,be friends with,Happiness and relationships
get along with,hòa thuận,,Happiness and relationships
look up to sb,ngưỡng mộ ai đó,admire,Happiness and relationships
look down on,coi thường ai,,Happiness and relationships
put up with,"chịu đựng, tha thứ",,Happiness and relationships
pick on,trêu chọc ai đó,make fun of sb,Happiness and relationships
look after,chăm sóc,,Happiness and relationships
go out with,có mối quan hệ nghiêm túc với ai,be in a relationship,Happiness and relationships
phrasal,,,Happiness and relationships
be happy with sb/ about sth,hạnh phúc với ai đó/ về điều gì đó,,Happiness and relationships
be crazy/ mad about,"điên cuồng/ phát điên vì ai đó (cảm giác yêu, nhớ nhung)",,Happiness and relationships
be polite to,cư xử lịch thiệp với ai,,Happiness and relationships
agree with,đồng ý với ai,,Happiness and relationships
depend/ rely on,dựa vào ai,,Happiness and relationships
be married to sb,kết hôn với ai,,Happiness and relationships
be angry with sb/ about sth,giận dữ với ai/ về điều gì,,Happiness and relationships
have a tolerance for,có khả năng chịu đựng điều gì,,Happiness and relationships
be on good terms with,có quan hệ tốt với ai,,Happiness and relationships
bear in mind,ghi nhớ,,Happiness and relationships
brace yourself,chuẩn bị tinh thần,,Happiness and relationships
pull yourself together,bình tĩnh lại,,Happiness and relationships
idioms,,,Happiness and relationships
be over the moon,"sung sướng, hạnh phúc",,Happiness and relationships
be on cloud nine,,,Happiness and relationships
heads in the clouds,"đầu óc trên mây, mơ mộng, không thực tế",,Happiness and relationships
jump for joy,nhảy lên vì sung sướng,excited,Happiness and relationships
be an item,có mối quan hệ lãng mạn,,Happiness and relationships
tie the knot,kết hôn,get married,Happiness and relationships
have butterflies in your stomach,"lo lắng, bồn chồn",nervous,Happiness and relationships
have butterflies in your stomach,,,
